iter	RMSE
340	0.1073319897
341	0.1073225631
342	0.1073134345
343	0.1073035626
344	0.1072965621
345	0.1072926084
346	0.10727906
347	0.1072688481
348	0.1072615836
349	0.1072428702
350	0.1072294886
351	0.107219074
352	0.1072130722
353	0.1072110686
354	0.1072080842
355	0.1072049331
356	0.1071940465
357	0.1071838122
358	0.107174721
359	0.1071676047
360	0.1071629234
361	0.1071541516
362	0.1071458143
363	0.107134628
364	0.107130498
365	0.1071244406
366	0.1071168087
367	0.1071129613
368	0.1071026654
369	0.1070967121
370	0.1070885287
371	0.1070850967
372	0.1070677405
373	0.1070633394
374	0.1070578129
375	0.1070547571
376	0.1070480445
377	0.1070417369
378	0.1070376378
379	0.107026689
380	0.1070245766
381	0.1070183532
382	0.1070098597
383	0.1070055379
384	0.1070013803
385	0.1069922031
386	0.1069822238
387	0.1069749058
388	0.1069699806
389	0.1069635476
390	0.1069542417
391	0.1069482823
392	0.1069416033
393	0.1069373606
394	0.1069204343
395	0.1069091943
396	0.1069050588
397	0.1068958878
398	0.1068852528
399	0.1068744572
400	0.1068684971
401	0.1068577694
402	0.1068457661
403	0.1068412981
404	0.1068382205
405	0.1068301934
406	0.1068276802
407	0.1068229729
408	0.1068212698
409	0.1068095828
410	0.1067997818
411	0.1067958101
412	0.1067892208
413	0.1067837516
414	0.1067721123
415	0.1067567005
416	0.1067464904
417	0.1067404587
418	0.1067335458
419	0.1067298605
420	0.1067189829
421	0.106712217
422	0.1067049832
423	0.1066952474
424	0.1066812298
425	0.1066739244
426	0.1066693702
427	0.1066631542
428	0.1066593008
429	0.1066561785
430	0.1066497376
431	0.1066466764
432	0.1066430069
433	0.1066370118
434	0.106631177
435	0.1066261067
436	0.1066164078
437	0.1066087209
438	0.1066050298
439	0.1065986905
440	0.1065916119
441	0.1065847839
442	0.1065735958
443	0.1065677457
444	0.1065604984
445	0.1065450535
446	0.1065372301
447	0.106529645
448	0.1065240927
449	0.1065188648
450	0.1065136468
451	0.1065055721
452	0.1064967947
453	0.1064923528
454	0.1064843438
455	0.1064783441
456	0.1064663576
457	0.1064576477
458	0.1064531311
459	0.1064456478
460	0.1064420164
461	0.1064325157
462	0.1064265401
463	0.1064173207
464	0.1064123892
465	0.1064064221
466	0.1063982391
467	0.1063855481
468	0.1063736796
469	0.1063676032
470	0.1063617887
471	0.1063508752
472	0.1063488123
473	0.1063464727
474	0.106335886
475	0.1063308657
476	0.1063244698
477	0.1063205558
478	0.1063113995
479	0.1063039456
480	0.1062974093
481	0.1062893765
482	0.1062850027
483	0.1062781677
484	0.1062746906
485	0.1062622184
486	0.1062557814
487	0.1062516244
488	0.1062380502
489	0.1062293148
490	0.1062249631
491	0.1062164253
492	0.1062096976
493	0.1062051582
494	0.1062031775
495	0.1062007697
496	0.1061963102
497	0.1061921739
498	0.1061884908
499	0.106177479
